EARN_MDN_5YR,DEBT_ALL_STGP_ANY_MDN,DEBT_ALL_STGP_EVAL_MDN,DEBT_ALL_STGP_ANY_MDN10YRPAY,DEBT_ALL_STGP_EVAL_MDN10YRPAY,CIPCODE,CIPDESC,CREDLEV,CREDDESC,INSTNM,IPEDSCOUNT2,CONTROL,ROI_EARNINGS_TO_DEBT,DEBT_TO_INCOME_RATIO,MONTHLY_PAYMENT_PCT,PAYBACK_YEARS,CREDENTIAL_LEVEL_NAME,CIP_2DIGIT,MAJOR_FIELD,ROI_CATEGORY,AFFORDABILITY
51763.0,24000.0,21500.0,254.0,228.0,4510,Political Science and Government.,3,Bachelor's Degree,University of North Carolina at Charlotte,185.0,Public,2.156791666666667,0.4636516430655101,5.888375866931979,0.4636516430655101,Bachelor Degree,45,Social Sciences,Average (2-3),Very Affordable (<10%)
58888.0,13952.0,14000.0,148.0,148.0,301,Natural Resources Conservation and Research.,3,Bachelor's Degree,University of Virginia-Main Campus,94.0,Public,4.220756880733945,0.2369243309332971,3.015894579540824,0.2369243309332971,Bachelor Degree,30,Other,Good (3-5),Very Affordable (<10%)
56213.0,29048.0,27000.0,308.0,286.0,5203,Accounting and Related Services.,3,Bachelor's Degree,Indiana Institute of Technology-College of Professional Studies,15.0,"Private, nonprofit",1.935176259983476,0.5167487947627772,6.57499154999733,0.5167487947627772,Bachelor Degree,52,Business,Below Average (1-2),Very Affordable (<10%)
87169.0,19000.0,19000.0,201.0,201.0,4509,International Relations and National Security Studies.,3,Bachelor's Degree,Dickinson College,27.0,"Private, nonprofit",4.5878421052631575,0.217967396666246,2.767038740836765,0.217967396666246,Bachelor Degree,45,Social Sciences,Good (3-5),Very Affordable (<10%)
113065.0,19000.0,16750.0,201.0,178.0,1407,Chemical Engineering.,3,Bachelor's Degree,University of Notre Dame,79.0,"Private, nonprofit",5.95078947368421,0.1680449299075753,2.1332861628266926,0.1680449299075753,Bachelor Degree,14,Engineering,Excellent (>5),Very Affordable (<10%)
94414.0,24016.0,21500.0,255.0,228.0,5212,Management Information Systems and Services.,3,Bachelor's Degree,DePaul University,35.0,"Private, nonprofit",3.931295802798135,0.2543690554366937,3.241044760310971,0.2543690554366937,Bachelor Degree,52,Business,Good (3-5),Very Affordable (<10%)
59829.0,19500.0,19500.0,207.0,207.0,1310,Special Education and Teaching.,3,Bachelor's Degree,Indiana University-Bloomington,35.0,Public,3.0681538461538462,0.3259288973574687,4.151832723261294,0.3259288973574687,Bachelor Degree,13,Education,Good (3-5),Very Affordable (<10%)
48665.0,26493.0,25486.0,281.0,270.0,4502,Anthropology.,3,Bachelor's Degree,Wayne State University,20.0,Public,1.836900313290303,0.5443953560053426,6.929004417959519,0.5443953560053426,Bachelor Degree,45,Social Sciences,Below Average (1-2),Very Affordable (<10%)
57301.0,29615.0,17698.0,314.0,188.0,4407,Social Work.,3,Bachelor's Degree,Metropolitan State University,61.0,Public,1.9348640891440148,0.5168321669778887,6.575801469433344,0.5168321669778887,Bachelor Degree,44,Other,Below Average (1-2),Very Affordable (<10%)
78951.0,19059.0,19119.0,202.0,203.0,5211,International Business.,3,Bachelor's Degree,Illinois State University,48.0,Public,4.1424523847001415,0.2414028954668085,3.0702587680966675,0.2414028954668085,Bachelor Degree,52,Business,Good (3-5),Very Affordable (<10%)
54015.0,22687.0,20500.0,241.0,217.0,4201,"Psychology, General.",3,Bachelor's Degree,Clemson University,316.0,Public,2.3808789174417067,0.4200129593631398,5.354068314357123,0.4200129593631398,Bachelor Degree,42,Psychology,Average (2-3),Very Affordable (<10%)
65601.0,17074.0,15298.0,181.0,162.0,5208,Finance and Financial Management Services.,3,Bachelor's Degree,Eastern Washington University,67.0,Public,3.842157666627621,0.2602704227069709,3.3109251383363056,0.2602704227069709,Bachelor Degree,52,Business,Good (3-5),Very Affordable (<10%)
50876.0,26000.0,25000.0,276.0,265.0,5401,History.,3,Bachelor's Degree,Millersville University of Pennsylvania,23.0,Public,1.9567692307692308,0.5110464659171319,6.509945750452078,0.5110464659171319,Bachelor Degree,54,History,Below Average (1-2),Very Affordable (<10%)
93111.0,27000.0,26000.0,286.0,276.0,1410,"Electrical, Electronics and Communications Engineering.",3,Bachelor's Degree,The Pennsylvania State University,269.0,Public,3.448555555555556,0.2899764796855366,3.6859232528917096,0.2899764796855366,Bachelor Degree,14,Engineering,Good (3-5),Very Affordable (<10%)
61526.0,15467.0,15250.0,164.0,162.0,2401,"Liberal Arts and Sciences, General Studies and Humanities.",3,Bachelor's Degree,San Francisco State University,111.0,Public,3.977888407577423,0.2513896564054221,3.1986477261645483,0.2513896564054221,Bachelor Degree,24,Other,Good (3-5),Very Affordable (<10%)
44967.0,30375.0,24484.0,322.0,260.0,5401,History.,3,Bachelor's Degree,Northern Kentucky University,30.0,Public,1.480395061728395,0.6754953632663954,8.592968176662886,0.6754953632663954,Bachelor Degree,54,History,Below Average (1-2),Very Affordable (<10%)
72162.0,15000.0,15000.0,159.0,159.0,1601,"Linguistic, Comparative, and Related Language Studies and Services.",3,Bachelor's Degree,University of California-Los Angeles,122.0,Public,4.8108,0.2078656356531138,2.644050885507608,0.2078656356531138,Bachelor Degree,16,Foreign Languages,Good (3-5),Very Affordable (<10%)
43912.0,25988.0,24275.0,276.0,257.0,4511,Sociology.,3,Bachelor's Degree,University of North Carolina at Greensboro,144.0,Public,1.6897029398183776,0.591820003643651,7.542357442157041,0.591820003643651,Bachelor Degree,45,Social Sciences,Below Average (1-2),Very Affordable (<10%)
90239.0,27000.0,27000.0,286.0,286.0,5213,Management Sciences and Quantitative Methods.,3,Bachelor's Degree,Miami University-Oxford,39.0,Public,3.342185185185185,0.2992054433227318,3.8032336351245024,0.2992054433227318,Bachelor Degree,52,Business,Good (3-5),Very Affordable (<10%)
28110.0,12406.0,9500.0,132.0,101.0,5108,Allied Health and Medical Assisting Services.,1,Undergraduate Certificate or Diploma,Gwinnett College-Marietta Campus,36.0,"Private, for-profit",2.265839110108012,0.4413376022767698,5.635005336179296,0.4413376022767698,Undergraduate Certificate,51,Health Professions,Average (2-3),Very Affordable (<10%)
52717.0,22053.0,20311.0,234.0,215.0,3105,Health and Physical Education/Fitness.,3,Bachelor's Degree,University of Louisville,216.0,Public,2.39046841699542,0.4183280535690574,5.326555001232999,0.4183280535690574,Bachelor Degree,31,Other,Average (2-3),Very Affordable (<10%)
